date,value
2024-01-02,37715.04
2024-01-03,37430.19
2024-01-04,37440.34
2024-01-05,37466.11
2024-01-08,37683.01
2024-01-09,37525.16
2024-01-10,37695.73
2024-01-11,37711.02
2024-01-12,37592.98
2024-01-16,37361.12
2024-01-17,37266.67
2024-01-18,37468.61
2024-01-19,37863.80
2024-01-22,38001.81
2024-01-23,37905.45
2024-01-24,37806.39
2024-01-25,38049.13
2024-01-26,38109.43
2024-01-29,38333.45
2024-01-30,38467.31
2024-01-31,38150.30
2024-02-01,38519.84
2024-02-02,38654.42
2024-02-05,38380.12
2024-02-06,38521.36
2024-02-07,38677.36
2024-02-08,38726.33
2024-02-09,38671.69
2024-02-12,38797.38
2024-02-13,38272.75
2024-02-14,38424.27
2024-02-15,38773.12
2024-02-16,38627.99
2024-02-20,38563.80
2024-02-21,38612.24
2024-02-22,39069.11
2024-02-23,39131.53
2024-02-26,39069.23
2024-02-27,38972.41
2024-02-28,38949.02
2024-02-29,38996.39
2024-03-01,39087.38
2024-03-04,38989.83
2024-03-05,38585.19
2024-03-06,38661.05
2024-03-07,38791.35
2024-03-08,38722.69
2024-03-11,38769.66
2024-03-12,39005.49
2024-03-13,39043.32
2024-03-14,38905.66
2024-03-15,38714.77
2024-03-18,38790.43
2024-03-19,39110.76
2024-03-20,39512.13
2024-03-21,39781.37
2024-03-22,39475.90
2024-03-25,39313.64
2024-03-26,39282.33
2024-03-27,39760.08
2024-03-28,39807.37
2024-04-01,39566.85
2024-04-02,39170.24
2024-04-03,39127.14
2024-04-04,38596.98
2024-04-05,38904.04
2024-04-08,38892.80
2024-04-09,38883.67
2024-04-10,38461.51
2024-04-11,38459.08
2024-04-12,37983.24
2024-04-15,37735.11
2024-04-16,37798.97
2024-04-17,37753.31
2024-04-18,37775.38
2024-04-19,37986.40
2024-04-22,38239.98
2024-04-23,38503.69
2024-04-24,38460.92
2024-04-25,38085.80
2024-04-26,38239.66
2024-04-29,38386.09
2024-04-30,37815.92
2024-05-01,37903.29
2024-05-02,38225.66
2024-05-03,38675.68
2024-05-06,38852.27
2024-05-07,38884.26
2024-05-08,39056.39
2024-05-09,39387.76
2024-05-10,39512.84
2024-05-13,39431.51
2024-05-14,39558.11
2024-05-15,39908.00
2024-05-16,39869.38
2024-05-17,40003.59
2024-05-20,39806.77
2024-05-21,39872.99
2024-05-22,39671.04
2024-05-23,39065.26
2024-05-24,39069.59
2024-05-28,38852.86
2024-05-29,38441.54
2024-05-30,38111.48
2024-05-31,38686.32
2024-06-03,38571.03
2024-06-04,38711.29
2024-06-05,38807.33
2024-06-06,38886.17
2024-06-07,38798.99
2024-06-10,38868.04
2024-06-11,38747.42
2024-06-12,38712.21
2024-06-13,38647.10
2024-06-14,38589.16
2024-06-17,38778.10
2024-06-18,38834.86
2024-06-20,39134.76
2024-06-21,39150.33
2024-06-24,39411.21
2024-06-25,39112.16
2024-06-26,39127.80
2024-06-27,39164.06
2024-06-28,39118.86
2024-07-01,39169.52
2024-07-02,39331.85
2024-07-03,39308.00
2024-07-05,39375.87
2024-07-08,39344.79
2024-07-09,39291.97
2024-07-10,39721.36
2024-07-11,39753.75
2024-07-12,40000.90
2024-07-15,40211.72
2024-07-16,40954.48
2024-07-17,41198.08
2024-07-18,40665.02
2024-07-19,40287.53
2024-07-22,40415.44
2024-07-23,40358.09
2024-07-24,39853.87
2024-07-25,39935.07
2024-07-26,40589.34
2024-07-29,40539.93
2024-07-30,40743.33
2024-07-31,40842.79
2024-08-01,40347.97
2024-08-02,39737.26
2024-08-05,38703.27
2024-08-06,38997.66
2024-08-07,38763.45
2024-08-08,39446.49
2024-08-09,39497.54
2024-08-12,39357.01
2024-08-13,39765.64
2024-08-14,40008.39
2024-08-15,40563.06
2024-08-16,40659.76
2024-08-19,40896.53
2024-08-20,40834.97
2024-08-21,40890.49
2024-08-22,40712.78
2024-08-23,41175.08
2024-08-26,41240.52
2024-08-27,41250.50
2024-08-28,41091.42
2024-08-29,41335.05
2024-08-30,41563.08
2024-09-03,40936.93
2024-09-04,40974.97
2024-09-05,40755.75
2024-09-06,40345.41
2024-09-09,40829.59
2024-09-10,40736.96
2024-09-11,40861.71
2024-09-12,41096.77
2024-09-13,41393.78
2024-09-16,41622.08
2024-09-17,41606.18
2024-09-18,41503.10
2024-09-19,42025.19
2024-09-20,42063.36
2024-09-23,42124.65
2024-09-24,42208.22
2024-09-25,41914.75
2024-09-26,42175.11
2024-09-27,42313.00
2024-09-30,42330.15
2024-10-01,42156.97
2024-10-02,42196.52
2024-10-03,42011.59
2024-10-04,42352.75
2024-10-07,41954.24
2024-10-08,42080.37
2024-10-09,42512.00
2024-10-10,42454.12
2024-10-11,42863.86
2024-10-14,43065.22
2024-10-15,42740.42
2024-10-16,43077.70
2024-10-17,43239.05
2024-10-18,43275.91
2024-10-21,42931.60
2024-10-22,42924.89
2024-10-23,42514.95
2024-10-24,42374.36
2024-10-25,42114.40
2024-10-28,42387.57
2024-10-29,42233.05
2024-10-30,42141.54
2024-10-31,41763.46
2024-11-01,42052.19
2024-11-04,41794.60
2024-11-05,42221.88
2024-11-06,43729.93
2024-11-07,43729.34
2024-11-08,43988.99
2024-11-11,44293.13
2024-11-12,43910.98
2024-11-13,43958.19
2024-11-14,43750.86
2024-11-15,43444.99
2024-11-18,43389.60
2024-11-19,43268.94
2024-11-20,43408.47
2024-11-21,43870.35
2024-11-22,44296.51
2024-11-25,44736.57
2024-11-26,44860.31
2024-11-27,44722.06
2024-11-29,44910.65
2024-12-02,44782.00
2024-12-03,44705.53
2024-12-04,45014.04
2024-12-05,44765.71
2024-12-06,44642.52
2024-12-09,44401.93
2024-12-10,44247.83
2024-12-11,44148.56
2024-12-12,43914.12
2024-12-13,43828.06
2024-12-16,43717.48
2024-12-17,43449.90
2024-12-18,42326.87
2024-12-19,42342.24
2024-12-20,42840.26
2024-12-23,42906.95
2024-12-24,43297.03
2024-12-26,43325.80
2024-12-27,42992.21
2024-12-30,42573.73
2024-12-31,42544.22 
