date,value
2024-01-02,30.17
2024-01-03,29.82
2024-01-04,29.76
2024-01-05,29.81
2024-01-08,30.36
2024-01-09,30.35
2024-01-10,30.67
2024-01-11,30.67
2024-01-12,30.73
2024-01-16,30.59
2024-01-17,30.47
2024-01-18,30.68
2024-01-19,31.07
2024-01-22,31.29
2024-01-23,31.35
2024-01-24,31.41
2024-01-25,31.57
2024-01-26,31.51
2024-01-29,31.91
2024-01-30,31.81
2024-01-31,31.25
2024-02-01,31.69
2024-02-02,32.05
2024-02-05,31.96
2024-02-06,32.00
2024-02-07,32.26
2024-02-08,32.44
2024-02-09,32.72
2024-02-12,32.66
2024-02-13,32.10
2024-02-14,32.44
2024-02-15,32.60
2024-02-16,32.52
2024-02-20,32.24
2024-02-21,32.08
2024-02-22,32.79
2024-02-23,32.92
2024-02-26,32.91
2024-02-27,32.93
2024-02-28,32.91
2024-02-29,33.15
2024-03-01,33.47
2024-03-04,33.51
2024-03-05,33.10
2024-03-06,33.34
2024-03-07,33.78
2024-03-08,33.53
2024-03-11,33.42
2024-03-12,33.95
2024-03-13,33.80
2024-03-14,33.75
2024-03-15,33.46
2024-03-18,33.70
2024-03-19,33.87
2024-03-20,34.23
2024-03-21,34.41
2024-03-22,34.47
2024-03-25,34.41
2024-03-26,34.31
2024-03-27,34.43
2024-03-28,34.44
2024-04-01,34.46
2024-04-02,34.20
2024-04-03,34.25
2024-04-04,33.70
2024-04-05,34.11
2024-04-08,34.11
2024-04-09,33.96
2024-04-10,33.86
2024-04-11,34.15
2024-04-12,33.69
2024-04-15,33.03
2024-04-16,33.02
2024-04-17,32.85
2024-04-18,32.67
2024-04-19,32.08
2024-04-22,32.47
2024-04-23,33.02
2024-04-24,32.94
2024-04-25,32.84
2024-04-26,33.34
2024-04-29,33.44
2024-04-30,32.87
2024-05-01,32.72
2024-05-02,33.16
2024-05-03,33.54
2024-05-06,34.07
2024-05-07,34.02
2024-05-08,34.00
2024-05-09,34.01
2024-05-10,34.15
2024-05-13,34.12
2024-05-14,34.38
2024-05-15,34.84
2024-05-16,34.71
2024-05-17,34.70
2024-05-20,34.88
2024-05-21,34.98
2024-05-22,34.74
2024-05-23,34.83
2024-05-24,35.12
2024-05-28,35.35
2024-05-29,35.22
2024-05-30,34.56
2024-05-31,34.79
2024-06-03,34.94
2024-06-04,34.97
2024-06-05,35.56
2024-06-06,35.53
2024-06-07,35.47
2024-06-10,35.66
2024-06-11,35.70
2024-06-12,36.08
2024-06-13,36.12
2024-06-14,36.09
2024-06-17,36.43
2024-06-18,36.57
2024-06-20,36.40
2024-06-21,36.49
2024-06-24,36.09
2024-06-25,36.33
2024-06-26,36.39
2024-06-27,36.45
2024-06-28,36.40
2024-07-01,36.45
2024-07-02,36.55
2024-07-03,36.86
2024-07-05,36.96
2024-07-08,37.05
2024-07-09,37.07
2024-07-10,37.43
2024-07-11,36.96
2024-07-12,37.21
2024-07-15,37.23
2024-07-16,37.34
2024-07-17,36.69
2024-07-18,36.40
2024-07-19,36.08
2024-07-22,36.43
2024-07-23,36.43
2024-07-24,35.53
2024-07-25,35.26
2024-07-26,35.66
2024-07-29,35.63
2024-07-30,35.23
2024-07-31,35.94
2024-08-01,35.24
2024-08-02,34.41
2024-08-05,33.29
2024-08-06,33.74
2024-08-07,33.43
2024-08-08,34.34
2024-08-09,34.53
2024-08-12,34.57
2024-08-13,35.37
2024-08-14,35.55
2024-08-15,36.25
2024-08-16,36.32
2024-08-19,36.74
2024-08-20,36.68
2024-08-21,36.82
2024-08-22,36.41
2024-08-23,36.86
2024-08-26,36.79
2024-08-27,36.84
2024-08-28,36.47
2024-08-29,36.29
2024-08-30,36.68
2024-09-03,35.60
2024-09-04,35.48
2024-09-05,35.35
2024-09-06,34.71
2024-09-09,35.08
2024-09-10,35.20
2024-09-11,35.86
2024-09-12,36.24
2024-09-13,36.46
2024-09-16,36.56
2024-09-17,36.58
2024-09-18,36.31
2024-09-19,37.17
2024-09-20,37.08
2024-09-23,37.10
2024-09-24,37.19
2024-09-25,37.27
2024-09-26,37.48
2024-09-27,37.28
2024-09-30,37.40
2024-10-01,36.86
2024-10-02,36.99
2024-10-03,37.00
2024-10-04,37.39
2024-10-07,37.12
2024-10-08,37.57
2024-10-09,37.82
2024-10-10,37.82
2024-10-11,38.07
2024-10-14,38.42
2024-10-15,38.00
2024-10-16,38.23
2024-10-17,38.25
2024-10-18,38.47
2024-10-21,38.41
2024-10-22,38.51
2024-10-23,38.10
2024-10-24,38.22
2024-10-25,38.09
2024-10-28,38.26
2024-10-29,38.40
2024-10-30,38.26
2024-10-31,37.45
2024-11-01,37.75
2024-11-04,37.72
2024-11-05,38.20
2024-11-06,39.22
2024-11-07,39.56
2024-11-08,39.64
2024-11-11,39.76
2024-11-12,39.70
2024-11-13,39.67
2024-11-14,39.51
2024-11-15,38.75
2024-11-18,38.83
2024-11-19,39.17
2024-11-20,39.20
2024-11-21,39.54
2024-11-22,39.61
2024-11-25,39.69
2024-11-26,39.92
2024-11-27,39.64
2024-11-29,39.95
2024-12-02,40.07
2024-12-03,40.15
2024-12-04,40.73
2024-12-05,40.63
2024-12-06,40.63
2024-12-09,40.24
2024-12-10,40.08
2024-12-11,40.54
2024-12-12,40.31
2024-12-13,40.01
2024-12-16,40.06
2024-12-17,39.90
2024-12-18,38.68
2024-12-19,38.70
2024-12-20,39.19
2024-12-23,39.42
2024-12-24,39.78
2024-12-26,39.77
2024-12-27,39.18
2024-12-30,38.79
2024-12-31,38.58 
