date,value
2024-12-31,21226.50
2024-12-30,21416.25
2024-12-27,21698.50
2024-12-26,22008.00
2024-12-24,22028.50
2024-12-23,21753.25
2024-12-20,20947.98
2024-12-19,21112.75
2024-12-18,21218.75
2024-12-17,22014.75
2024-12-16,22110.25
2024-12-13,21795.75
2024-12-12,21651.25
2024-12-11,21793.50
2024-12-10,21405.25
2024-12-09,21483.75
2024-12-06,21656.75
2024-12-05,21473.25
2024-12-04,21536.50
2024-12-03,21281.50
2024-12-02,21218.00
2024-11-29,20993.50
2024-11-27,20813.00
2024-11-26,20993.50
2024-11-25,20880.25
2024-11-22,20849.75
2024-11-21,20829.50
2024-11-20,20749.00
2024-11-19,20767.75
2024-11-18,20633.50
2024-11-15,20493.75
2024-11-14,21011.75
2024-11-13,21159.50
2024-11-12,21189.50
2024-11-11,21217.75
2024-11-08,21231.25
2024-11-07,21224.75
2024-11-06,20894.00
2024-11-05,20341.75
2024-11-04,20086.00
2024-11-01,20153.25
2024-10-31,20021.75
2024-10-30,20534.75
2024-10-29,20696.50
2024-10-28,20497.00
2024-10-25,20498.75
2024-10-24,20380.25
2024-10-23,20220.50
2024-10-22,20542.00
2024-10-21,20519.50
2024-10-18,20483.50
2024-10-17,20368.00
2024-10-16,20349.50
2024-10-15,20342.00
2024-10-14,20619.25
2024-10-11,20450.00
2024-10-10,20429.75
2024-10-09,20463.50
2024-10-08,20298.50
2024-10-07,19992.75
2024-10-04,20227.25
2024-10-03,19990.25
2024-10-02,20009.75
2024-10-01,19975.00
2024-09-30,20261.25
2024-09-27,20221.50
2024-09-26,20346.25
2024-09-25,20192.00
2024-09-24,20167.75
2024-09-23,20080.00
2024-09-20,19808.01
2024-09-19,19850.25
2024-09-18,19349.25
2024-09-17,19439.25
2024-09-16,19433.00
2024-09-13,19530.25
2024-09-12,19447.25
2024-09-11,19271.00
2024-09-10,18864.00
2024-09-09,18692.25
2024-09-06,18458.25
2024-09-05,18963.50
2024-09-04,18962.50
2024-09-03,19006.50
2024-08-30,19623.00
2024-08-29,19393.25
2024-08-28,19415.75
2024-08-27,19653.75
2024-08-26,19591.25
2024-08-23,19790.75
2024-08-22,19578.25
2024-08-21,19909.50
2024-08-20,19809.50
2024-08-19,19857.75
2024-08-16,19605.75
2024-08-15,19581.25
