date,value
2024-01-02,48.15
2024-01-03,47.56
2024-01-04,47.98
2024-01-05,49.08
2024-01-08,52.24
2024-01-09,53.12
2024-01-10,54.33
2024-01-11,54.81
2024-01-12,54.69
2024-01-16,56.37
2024-01-17,56.04
2024-01-18,57.09
2024-01-19,59.47
2024-01-22,59.64
2024-01-23,59.86
2024-01-24,61.34
2024-01-25,61.60
2024-01-26,61.01
2024-01-29,62.45
2024-01-30,62.76
2024-01-31,61.51
2024-02-01,63.01
2024-02-02,66.14
2024-02-05,69.31
2024-02-06,68.20
2024-02-07,70.08
2024-02-08,69.62
2024-02-09,72.11
2024-02-12,72.23
2024-02-13,72.11
2024-02-14,73.88
2024-02-15,72.64
2024-02-16,72.59
2024-02-20,69.43
2024-02-21,67.45
2024-02-22,78.52
2024-02-23,78.79
2024-02-26,79.07
2024-02-27,78.68
2024-02-28,77.64
2024-02-29,79.09
2024-03-01,82.26
2024-03-04,85.21
2024-03-05,85.94
2024-03-06,88.68
2024-03-07,92.65
2024-03-08,87.51
2024-03-11,85.75
2024-03-12,91.89
2024-03-13,90.87
2024-03-14,87.92
2024-03-15,87.82
2024-03-18,88.43
2024-03-19,89.38
2024-03-20,90.35
2024-03-21,91.41
2024-03-22,94.27
2024-03-25,94.98
2024-03-26,92.54
2024-03-27,90.23
2024-03-28,90.33
2024-04-01,90.34
2024-04-02,89.43
2024-04-03,88.94
2024-04-04,85.88
2024-04-05,87.99
2024-04-08,87.11
2024-04-09,85.33
2024-04-10,87.02
2024-04-11,90.59
2024-04-12,88.17
2024-04-15,85.98
2024-04-16,87.39
2024-04-17,84.02
2024-04-18,84.65
2024-04-19,76.18
2024-04-22,79.50
2024-04-23,82.40
2024-04-24,79.66
2024-04-25,82.61
2024-04-26,87.71
2024-04-29,87.74
2024-04-30,86.38
2024-05-01,83.02
2024-05-02,85.80
2024-05-03,88.77
2024-05-06,92.12
2024-05-07,90.53
2024-05-08,90.39
2024-05-09,88.73
2024-05-10,89.86
2024-05-13,90.38
2024-05-14,91.33
2024-05-15,94.61
2024-05-16,94.34
2024-05-17,92.46
2024-05-20,94.76
2024-05-21,95.36
2024-05-22,94.93
2024-05-23,103.77
2024-05-24,106.44
2024-05-28,113.87
2024-05-29,114.80
2024-05-30,110.47
2024-05-31,109.61
2024-06-03,114.97
2024-06-04,116.41
2024-06-05,122.41
2024-06-06,120.97
2024-06-07,120.86
2024-06-10,121.76
2024-06-11,120.89
2024-06-12,125.18
2024-06-13,129.59
2024-06-14,131.86
2024-06-17,130.96
2024-06-18,135.56
2024-06-20,130.76
2024-06-21,126.55
2024-06-24,118.09
2024-06-25,126.07
2024-06-26,126.38
2024-06-27,123.97
2024-06-28,123.52
2024-07-01,124.28
2024-07-02,122.65
2024-07-03,128.26
2024-07-05,125.81
2024-07-08,128.18
2024-07-09,131.36
2024-07-10,134.89
2024-07-11,127.38
2024-07-12,129.22
2024-07-15,128.42
2024-07-16,126.34
2024-07-17,117.97
2024-07-18,121.07
2024-07-19,117.91
2024-07-22,123.52
2024-07-23,122.57
2024-07-24,114.23
2024-07-25,112.26
2024-07-26,113.04
2024-07-29,111.57
2024-07-30,103.71
2024-07-31,117.00
2024-08-01,109.19
2024-08-02,107.25
2024-08-05,100.43
2024-08-06,104.23
2024-08-07,98.89
2024-08-08,104.95
2024-08-09,104.73
2024-08-12,109.00
2024-08-13,116.12
2024-08-14,118.06
2024-08-15,122.84
2024-08-16,124.56
2024-08-19,129.98
2024-08-20,127.23
2024-08-21,128.48
2024-08-22,123.72
2024-08-23,129.35
2024-08-26,126.44
2024-08-27,128.28
2024-08-28,125.59
2024-08-29,117.57
2024-08-30,119.35
2024-09-03,107.98
2024-09-04,106.19
2024-09-05,107.19
2024-09-06,102.81
2024-09-09,106.45
2024-09-10,108.08
2024-09-11,116.89
2024-09-12,119.13
2024-09-13,119.09
2024-09-16,116.77
2024-09-17,115.58
2024-09-18,113.36
2024-09-19,117.86
2024-09-20,115.99
2024-09-23,116.25
2024-09-24,120.86
2024-09-25,123.50
2024-09-26,124.03
2024-09-27,121.39
2024-09-30,121.43
2024-10-01,116.99
2024-10-02,118.84
2024-10-03,122.84
2024-10-04,124.91
2024-10-07,127.71
2024-10-08,132.88
2024-10-09,132.64
2024-10-10,134.80
2024-10-11,134.79
2024-10-14,138.06
2024-10-15,131.59
2024-10-16,135.71
2024-10-17,136.92
2024-10-18,137.99
2024-10-21,143.70
2024-10-22,143.58
2024-10-23,139.55
2024-10-24,140.40
2024-10-25,141.53
2024-10-28,140.51
2024-10-29,141.24
2024-10-30,139.33
2024-10-31,132.75
2024-11-01,135.39
2024-11-04,136.04
2024-11-05,139.90
2024-11-06,145.60
2024-11-07,148.87
2024-11-08,147.62
2024-11-11,145.25
2024-11-12,148.28
2024-11-13,146.26
2024-11-14,146.75
2024-11-15,141.97
2024-11-18,140.14
2024-11-19,147.00
2024-11-20,145.88
2024-11-21,146.66
2024-11-22,141.94
2024-11-25,136.01
2024-11-26,136.91
2024-11-27,135.33
2024-11-29,138.24
2024-12-02,138.62
2024-12-03,140.25
2024-12-04,145.13
2024-12-05,145.06
2024-12-06,142.44
2024-12-09,138.81
2024-12-10,135.07
2024-12-11,139.31
2024-12-12,137.34
2024-12-13,134.25
2024-12-16,132.00
2024-12-17,130.39
2024-12-18,128.91
2024-12-19,130.68
2024-12-20,134.70
2024-12-23,139.67
2024-12-24,140.22
2024-12-26,139.93
2024-12-27,137.01
2024-12-30,137.49
2024-12-31,134.29 
